baseline,view,n,verdict_accuracy,evidence_precision,clean_support_recall,polluted_support_rate,role_reconstruction_accuracy,action_target_score,operational_epistemic_escape
always_insufficient,neutral_metadata_hidden,60,0.2,0.0,0.2,0.0,0.0,0.0,0.13333333333333333
always_insufficient,neutral_metadata_visible,60,0.2,0.0,0.2,0.0,0.0,0.0,0.13333333333333333
citation_graph_only,neutral_metadata_hidden,60,0.2,0.0,0.2,0.0,0.0,0.0,0.13333333333333333
citation_graph_only,neutral_metadata_visible,60,0.2,0.0,0.2,0.0,0.0,0.0,0.13333333333333333
claim_overlap_only,neutral_metadata_hidden,60,0.2,0.0,0.2,0.0,0.0,0.0,0.13333333333333333
claim_overlap_only,neutral_metadata_visible,60,0.2,0.0,0.2,0.0,0.0,0.0,0.13333333333333333
cue_phrase_only,neutral_metadata_hidden,60,0.3,0.0,0.2,0.0,0.0,0.0,0.0
cue_phrase_only,neutral_metadata_visible,60,0.3,0.0,0.2,0.0,0.0,0.0,0.0
document_order_only,neutral_metadata_hidden,60,0.3,0.2,0.4,0.3333333333333333,0.0,0.0,0.06666666666666667
document_order_only,neutral_metadata_visible,60,0.3,0.15,0.35,0.4,0.0,0.0,0.03333333333333333
id_only,neutral_metadata_hidden,60,0.3,0.0,0.2,0.0,0.0,0.0,0.0
id_only,neutral_metadata_visible,60,0.3,0.0,0.2,0.0,0.0,0.0,0.0
metadata_only,neutral_metadata_hidden,60,0.3,0.0,0.2,0.0,0.0,0.0,0.0
metadata_only,neutral_metadata_visible,60,0.3,0.0,0.2,0.0,0.0,0.0,0.0
random_valid_schema,neutral_metadata_hidden,60,0.3,0.0,0.2,0.0,0.0,0.0,0.0
random_valid_schema,neutral_metadata_visible,60,0.35,0.0,0.2,0.0,0.0,0.0,0.03333333333333333
simple_heuristic,neutral_metadata_hidden,60,0.5,0.5833333333333334,0.7833333333333333,0.21666666666666667,0.0,0.15,0.35
simple_heuristic,neutral_metadata_visible,60,0.5,0.55,0.75,0.25,0.0,0.15,0.3333333333333333
source_type_only,neutral_metadata_hidden,60,0.3,0.0,0.2,0.0,0.0,0.0,0.0
source_type_only,neutral_metadata_visible,60,0.3,0.0,0.2,0.0,0.0,0.0,0.0
timestamp_only,neutral_metadata_hidden,60,0.3,0.0,0.2,0.0,0.0,0.0,0.0
timestamp_only,neutral_metadata_visible,60,0.3,0.0,0.2,0.0,0.0,0.0,0.0
title_only,neutral_metadata_hidden,60,0.2,0.0,0.2,0.0,0.0,0.0,0.13333333333333333
title_only,neutral_metadata_visible,60,0.2,0.0,0.2,0.0,0.0,0.0,0.13333333333333333
