model,budget_setting,family,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,verification_action_score,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,overlength_rate,cost_usd
claude-opus-4-7,operational,active_verification,40,0.675,0.675,1.0,0.8,0.9,0.8,0.5666666666666667,423.025,62.925,68.175,20.9,0.0,0.0017906374999999998
claude-opus-4-7,operational,evidence_selection,80,0.8,0.8,1.0,1.0,0.975,1.0,0.0,425.45,59.2375,70.6375,22.325,0.0,0.00216221875
claude-opus-4-7,operational,packet_judgment,80,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.0,415.5625,58.3,71.6625,19.5375,0.0,0.00185173125
deepseek-v4-pro,operational,active_verification,40,0.475,0.475,1.0,0.8,0.825,0.8,0.4833333333333333,362.875,39.575,60.55,20.475,0.0,0.0041477875
deepseek-v4-pro,operational,evidence_selection,80,0.7625,0.7625,1.0,1.0,0.9125,1.0,0.0,377.0125,45.3,63.675,20.1375,0.0,0.004512825
deepseek-v4-pro,operational,packet_judgment,80,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.0,367.4,40.825,61.0125,20.2625,0.0,0.00417118125
gemini-3.1-pro-preview,operational,active_verification,40,0.4,0.4,1.0,0.8,1.0,0.8,0.4583333333333333,416.45,70.125,60.275,18.05,0.0,0.0035854562499999998
gemini-3.1-pro-preview,operational,evidence_selection,80,0.8,0.8,1.0,1.0,1.0,1.0,0.0,435.8625,74.4,63.6625,17.3625,0.0,0.0038152781250000004
gemini-3.1-pro-preview,operational,packet_judgment,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0,432.7625,73.6,62.9375,18.6875,0.0,0.00363265625
gpt-5.4,operational,active_verification,40,0.525,0.525,1.0,0.8,0.6,0.8,0.425,344.125,58.875,60.725,13.25,0.0,0.0010296875
gpt-5.4,operational,evidence_selection,80,0.8,0.8,1.0,1.0,0.6625,1.0,0.0,344.325,60.0125,62.925,12.4,0.0,0.0012656437500000001
gpt-5.4,operational,packet_judgment,80,0.8,0.8,1.0,1.0,0.8,1.0,0.0,348.9375,59.9625,62.7125,13.0875,0.0,0.0010856875
kimi-k2.6,operational,active_verification,40,0.375,0.375,1.0,0.8,0.975,0.8,0.45,374.125,53.65,55.825,22.55,0.0,0.0086066
kimi-k2.6,operational,evidence_selection,80,0.5875,0.5875,1.0,1.0,0.8625,1.0,0.0,386.1625,55.6625,59.7375,22.5,0.0,0.009969312499999999
kimi-k2.6,operational,packet_judgment,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0,371.4875,52.825,57.5625,21.7125,0.0,0.008351575
