check,severity,task_id,view,subject,detail
gold_verdict_consistency,P1,,,gold_labels.jsonl,"runbook listed gold_labels.jsonl, but this dataset version stores verdicts in latent_tasks.jsonl"
dependency_edge_consistency,P1,uncued_024,neutral_metadata_visible,uncued_024_d01,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_024,neutral_metadata_hidden,uncued_024_d02,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_025,neutral_metadata_visible,uncued_025_d03,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_025,neutral_metadata_hidden,uncued_025_d02,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_026,neutral_metadata_visible,uncued_026_d03,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_026,neutral_metadata_hidden,uncued_026_d01,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_027,neutral_metadata_visible,uncued_027_d02,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_027,neutral_metadata_hidden,uncued_027_d01,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_028,neutral_metadata_visible,uncued_028_d03,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_028,neutral_metadata_hidden,uncued_028_d04,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_029,neutral_metadata_visible,uncued_029_d02,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_029,neutral_metadata_hidden,uncued_029_d03,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_030,neutral_metadata_visible,uncued_030_d01,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_030,neutral_metadata_hidden,uncued_030_d03,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_031,neutral_metadata_visible,uncued_031_d03,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_031,neutral_metadata_hidden,uncued_031_d02,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_032,neutral_metadata_visible,uncued_032_d02,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_032,neutral_metadata_hidden,uncued_032_d03,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_033,neutral_metadata_visible,uncued_033_d02,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_033,neutral_metadata_hidden,uncued_033_d04,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_034,neutral_metadata_visible,uncued_034_d02,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_034,neutral_metadata_hidden,uncued_034_d02,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_035,neutral_metadata_visible,uncued_035_d04,visible citation graph contains a cycle
dependency_edge_consistency,P1,uncued_035,neutral_metadata_hidden,uncued_035_d03,visible citation graph contains a cycle
chronology_consistency,P1,multiple,both,synthetic_timestamps,264 document timestamps precede the claim month; examples: uncued_000_d01 timestamp=2025-01-16 claim_month=2025-03; uncued_000_d03 timestamp=2025-01-13 claim_month=2025-03; uncued_000_d04 timestamp=2025-01-15 claim_month=2025-03; uncued_000_d02 timestamp=2025-01-14 claim_month=2025-03; uncued_001_d02 timestamp=2025-02-15 claim_month=2025-04. Treat timestamps as synthetic/non-evidential unless dataset documentation says otherwise.
