source_run,condition,family,n_operational_failures,dirty_support,dirty_support_rate,missing_clean_support,missing_clean_support_rate,empty_support,empty_support_rate,evidence_value_below_threshold,evidence_value_below_threshold_rate,duplicate_or_same_root_failure,duplicate_or_same_root_failure_rate,generated_lore_selected,generated_lore_selected_rate,required_action_missing,required_action_missing_rate,action_target_mismatch,action_target_mismatch_rate,action_not_executable,action_not_executable_rate,uncertainty_discipline_failure,uncertainty_discipline_failure_rate,belief_incorrect,belief_incorrect_rate,parse_or_schema_failure,parse_or_schema_failure_rate,other_unclassified,other_unclassified_rate
pilot,buried_primary,active_verification,8,0,0.0,0,0.0,0,0.0,7,0.875,0,0.0,0,0.0,1,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pilot,buried_primary,evidence_selection,40,0,0.0,0,0.0,0,0.0,17,0.425,22,0.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.025,0,0.0,0,0.0
pilot,buried_primary,packet_judgment,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
pilot,clean,active_verification,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pilot,clean,evidence_selection,24,0,0.0,0,0.0,6,0.25,13,0.5416666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.20833333333333334,0,0.0,0,0.0
pilot,clean,packet_judgment,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0
pilot,conflicting_evidence,active_verification,15,5,0.3333333333333333,0,0.0,0,0.0,6,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.26666666666666666,0,0.0,0,0.0
pilot,conflicting_evidence,evidence_selection,40,11,0.275,0,0.0,1,0.025,5,0.125,17,0.425,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.15,0,0.0,0,0.0
pilot,conflicting_evidence,packet_judgment,17,9,0.5294117647058824,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.47058823529411764,0,0.0,0,0.0
pilot,false_consensus,active_verification,12,1,0.08333333333333333,0,0.0,1,0.08333333333333333,5,0.4166666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.4166666666666667,0,0.0,0,0.0
pilot,false_consensus,evidence_selection,40,3,0.075,0,0.0,2,0.05,24,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.275,0,0.0,0,0.0
pilot,false_consensus,packet_judgment,15,4,0.26666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.7333333333333333,0,0.0,0,0.0
pilot,generated_lore,active_verification,26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,0.8846153846153846,0,0.0,0,0.0,0,0.0,0,0.0,3,0.11538461538461539,0,0.0,0,0.0
pilot,generated_lore,evidence_selection,32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31,0.96875,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03125,0,0.0,0,0.0
pilot,generated_lore,packet_judgment,26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,0.9230769230769231,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07692307692307693,0,0.0,0,0.0
