variant,condition,n,parse_success,belief_correctness,operational_epistemic_escape,conditional_epistemic_escape,evidence_precision,polluted_support_rate,rejected_pollutant_rate,clean_support_recall,verification_action_score,exact_target_rate,required_action_recall,cost_usd
baseline_original,buried_primary,10,1.0,1.0,0.4,0.4,1.0,0.0,1.0,1.0,0.5,1.0,0.5,0.009613075
baseline_original,conflicting_evidence,10,1.0,0.8,0.3,0.3,0.85,0.2,0.8,1.0,0.75,1.0,0.75,0.01320955
baseline_original,false_consensus,10,1.0,0.9,0.3,0.3,1.0,0.0,1.0,1.0,0.5,1.0,0.5,0.012711175
baseline_original,generated_lore,10,1.0,1.0,0.0,0.0,0.0,0.9,0.4,,0.5,1.0,0.5,0.015103775
citation_masked,buried_primary,10,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.75,1.0,0.75,0.012077375
citation_masked,conflicting_evidence,10,1.0,0.6,0.4,0.4,0.8333333333333334,0.3,0.7,0.9,1.0,1.0,1.0,0.013989399999999999
citation_masked,false_consensus,10,1.0,0.8,0.4,0.4,0.8666666666666666,0.2,0.8,1.0,0.75,1.0,0.75,0.012995475000000001
citation_masked,generated_lore,10,1.0,1.0,0.0,0.0,0.0,0.9,0.3,,0.5,1.0,0.5,0.0146654
order_randomized,buried_primary,10,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.75,1.0,0.75,0.014123825000000001
order_randomized,conflicting_evidence,10,1.0,1.0,0.4,0.4,0.9,0.0,1.0,1.0,0.5,1.0,0.5,0.013390125
order_randomized,false_consensus,10,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.75,1.0,0.75,0.013297999999999999
order_randomized,generated_lore,10,1.0,1.0,0.1,0.1,0.0,0.8,0.8,,0.0,1.0,0.0,0.014416375
prompt_paraphrase,buried_primary,10,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.75,1.0,0.75,0.01057145
prompt_paraphrase,conflicting_evidence,10,1.0,0.9,0.4,0.4,0.95,0.1,0.9,1.0,0.75,1.0,0.75,0.0125638
prompt_paraphrase,false_consensus,10,1.0,0.9,0.4,0.4,1.0,0.0,1.0,1.0,0.75,1.0,0.75,0.012028674999999999
prompt_paraphrase,generated_lore,10,1.0,1.0,0.1,0.1,0.0,0.9,0.8,,0.5,1.0,0.5,0.01683355
source_type_masked,buried_primary,10,1.0,1.0,0.6,0.6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0090983
source_type_masked,conflicting_evidence,10,1.0,0.9,0.4,0.4,0.95,0.1,0.9,1.0,0.75,1.0,0.75,0.01191745
source_type_masked,false_consensus,10,1.0,1.0,0.4,0.4,1.0,0.0,1.0,1.0,0.5,1.0,0.5,0.01248495
source_type_masked,generated_lore,10,1.0,1.0,0.0,0.0,0.0,0.9,0.7,,0.0,1.0,0.0,0.016384950000000002
