variant,family,n,parse_success,belief_correctness,operational_epistemic_escape,conditional_epistemic_escape,evidence_precision,polluted_support_rate,rejected_pollutant_rate,clean_support_recall,verification_action_score,exact_target_rate,required_action_recall,cost_usd
baseline_original,active_verification,8,1.0,1.0,0.125,0.125,0.6875,0.25,0.875,1.0,0.5625,1.0,0.5625,0.013298906249999999
baseline_original,evidence_selection,16,1.0,1.0,0.0,0.0,0.75,0.1875,0.875,1.0,,,,0.013087484375
baseline_original,packet_judgment,16,1.0,0.8125,0.5625,0.5625,0.6875,0.375,0.6875,1.0,,,,0.011911546875
citation_masked,active_verification,8,1.0,0.875,0.375,0.375,0.6875,0.375,0.625,1.0,0.75,1.0,0.75,0.01767496875
citation_masked,evidence_selection,16,1.0,0.8125,0.0,0.0,0.6458333333333334,0.375,0.625,1.0,,,,0.012169125
citation_masked,packet_judgment,16,1.0,0.875,0.625,0.625,0.6888888888888889,0.3125,0.8125,0.9166666666666666,,,,0.012573171875
order_randomized,active_verification,8,1.0,1.0,0.25,0.25,0.6875,0.25,1.0,1.0,0.5,1.0,0.5,0.01545140625
order_randomized,evidence_selection,16,1.0,1.0,0.0,0.0,0.75,0.1875,0.875,1.0,,,,0.013733562500000001
order_randomized,packet_judgment,16,1.0,1.0,0.8125,0.8125,0.7666666666666667,0.1875,1.0,1.0,,,,0.0130584375
prompt_paraphrase,active_verification,8,1.0,1.0,0.375,0.375,0.75,0.25,1.0,1.0,0.6875,1.0,0.6875,0.013653375
prompt_paraphrase,evidence_selection,16,1.0,1.0,0.0,0.0,0.75,0.25,0.875,1.0,,,,0.012614046875
prompt_paraphrase,packet_judgment,16,1.0,0.875,0.6875,0.6875,0.71875,0.25,0.9375,1.0,,,,0.0130576875
source_type_masked,active_verification,8,1.0,1.0,0.375,0.375,0.75,0.25,0.875,1.0,0.5625,1.0,0.5625,0.012675562500000001
source_type_masked,evidence_selection,16,1.0,1.0,0.0,0.0,0.8,0.1875,0.9375,1.0,,,,0.01294890625
source_type_masked,packet_judgment,16,1.0,0.9375,0.6875,0.6875,0.71875,0.3125,0.875,1.0,,,,0.01189184375
