model,strategy,difficulty,n,parse_success,claim_accuracy,escape_rate,contaminated_citation_rate,overconfident_wrong_rate,over_abstention_rate,generated_lore_overclaim_rate,false_consensus_susceptibility,primary_recovery_rate,confidence,cost_usd,abstention_quality,ece
openai/gpt-5-mini,careful_bm25,L0,24,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,0.0,0.041666666666666664,0.0,0.0,1.0,0.8591666666666667,0.0024921875,0.0,0.09916666666666658
openai/gpt-5-mini,careful_bm25,L1,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9125,0.0023361770833333333,0.0,0.08750000000000002
openai/gpt-5-mini,careful_bm25,L2,24,0.9583333333333334,0.9583333333333334,0.4166666666666667,0.18055555555555555,0.0,0.0,0.0,0.0,1.0,0.8725,0.0026956770833333333,0.0,0.08583333333333329
openai/gpt-5-mini,careful_bm25,L3,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9066666666666667,0.0023692395833333334,0.0,0.09333333333333327
openai/gpt-5-mini,careful_bm25,L4,24,1.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.7637499999999999,0.00225084375,0.0,0.7637499999999999
openai/gpt-5-mini,careful_bm25,L5,24,0.875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.00256371875,1.0,0.29
openai/gpt-5-mini,hygienic_combo,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.895,0.00239428125,0.0,0.10499999999999998
openai/gpt-5-mini,hygienic_combo,L1,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.915,0.0020944375,0.0,0.08499999999999996
openai/gpt-5-mini,hygienic_combo,L2,24,1.0,1.0,0.5833333333333334,0.13888888888888887,0.0,0.0,0.0,0.0,1.0,0.9145833333333333,0.0027783229166666664,0.0,0.0854166666666667
openai/gpt-5-mini,hygienic_combo,L3,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.90375,0.00220253125,0.0,0.09624999999999995
openai/gpt-5-mini,hygienic_combo,L4,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9066666666666667,0.0022987291666666664,0.0,0.09333333333333327
openai/gpt-5-mini,hygienic_combo,L5,24,0.875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6695833333333333,0.0025172708333333336,1.0,0.33041666666666664
openai/gpt-5-mini,naive_bm25,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9008333333333334,0.0017924791666666668,0.0,0.09916666666666663
openai/gpt-5-mini,naive_bm25,L1,24,1.0,1.0,0.9166666666666666,0.041666666666666664,0.0,0.0,0.0,0.0,1.0,0.9154166666666667,0.0019926770833333333,0.0,0.08458333333333334
openai/gpt-5-mini,naive_bm25,L2,24,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.9070833333333334,0.0020664270833333333,0.0,0.09291666666666665
openai/gpt-5-mini,naive_bm25,L3,24,1.0,1.0,0.875,0.125,0.0,0.0,0.0,0.0,1.0,0.9191666666666666,0.0020068229166666667,0.0,0.08083333333333342
openai/gpt-5-mini,naive_bm25,L4,24,1.0,0.0,0.0,1.0,0.20833333333333334,0.0,0.0,1.0,0.0,0.4025,0.00205459375,0.0,0.40249999999999997
openai/gpt-5-mini,naive_bm25,L5,24,1.0,1.0,0.0,0.9791666666666666,0.0,0.0,0.0,0.0,0.0,0.5883333333333334,0.00212096875,1.0,0.4116666666666666
openai/gpt-5-mini,primary_preserve,L0,24,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,0.0,0.041666666666666664,0.0,0.0,1.0,0.85875,0.0024347291666666666,0.0,0.09958333333333338
openai/gpt-5-mini,primary_preserve,L1,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9183333333333333,0.002356510416666667,0.0,0.08166666666666667
openai/gpt-5-mini,primary_preserve,L2,24,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.19444444444444442,0.0,0.0,0.0,0.0,1.0,0.8300000000000001,0.0029204270833333335,0.0,0.08666666666666661
openai/gpt-5-mini,primary_preserve,L3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9029166666666667,0.00220265625,0.0,0.0970833333333333
openai/gpt-5-mini,primary_preserve,L4,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9095833333333334,0.0023664479166666664,0.0,0.09041666666666659
openai/gpt-5-mini,primary_preserve,L5,24,0.9583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7495833333333333,0.0024498854166666666,1.0,0.2504166666666666
