metadata_noise,model,strategy,difficulty,n,escape_rate,escape_rate_ci_low,escape_rate_ci_high,claim_accuracy,claim_accuracy_ci_low,claim_accuracy_ci_high,contaminated_citation_rate,contaminated_citation_rate_ci_low,contaminated_citation_rate_ci_high,generated_lore_overclaim_rate,generated_lore_overclaim_rate_ci_low,generated_lore_overclaim_rate_ci_high
0,openai/gpt-5-mini,hygienic_combo,L3,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,openai/gpt-5-mini,hygienic_combo,L4,24,0.9583333333333334,0.875,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,openai/gpt-5-mini,hygienic_combo,L5,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,openai/gpt-5-mini,primary_preserve,L3,24,0.9583333333333334,0.875,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,openai/gpt-5-mini,primary_preserve,L4,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,openai/gpt-5-mini,primary_preserve,L5,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,openai/gpt-5-mini,hygienic_combo,L3,24,0.875,0.75,0.9583333333333334,0.9166666666666666,0.7916666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,openai/gpt-5-mini,hygienic_combo,L4,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,openai/gpt-5-mini,hygienic_combo,L5,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,openai/gpt-5-mini,primary_preserve,L3,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,openai/gpt-5-mini,primary_preserve,L4,24,0.875,0.75,1.0,0.9166666666666666,0.7916666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,openai/gpt-5-mini,primary_preserve,L5,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,openai/gpt-5-mini,hygienic_combo,L3,24,0.9583333333333334,0.875,1.0,0.9583333333333334,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,openai/gpt-5-mini,hygienic_combo,L4,24,0.9583333333333334,0.875,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,openai/gpt-5-mini,hygienic_combo,L5,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,openai/gpt-5-mini,primary_preserve,L3,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,openai/gpt-5-mini,primary_preserve,L4,24,0.75,0.5833333333333334,0.9166666666666666,0.7916666666666666,0.625,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0
25,openai/gpt-5-mini,primary_preserve,L5,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,openai/gpt-5-mini,hygienic_combo,L3,24,0.9583333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,openai/gpt-5-mini,hygienic_combo,L4,24,0.7916666666666666,0.625,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0
50,openai/gpt-5-mini,hygienic_combo,L5,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,openai/gpt-5-mini,primary_preserve,L3,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,openai/gpt-5-mini,primary_preserve,L4,24,0.3333333333333333,0.16666666666666666,0.5416666666666666,0.3333333333333333,0.16666666666666666,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0
50,openai/gpt-5-mini,primary_preserve,L5,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
