model,strategy,difficulty,n,parse_success,claim_accuracy,escape_rate,contaminated_citation_rate,overconfident_wrong_rate,over_abstention_rate,generated_lore_overclaim_rate,false_consensus_susceptibility,primary_recovery_rate,confidence,cost_usd,abstention_quality,ece
openai/gpt-4o-mini,careful_bm25,L5,24,1.0,1.0,0.875,0.11458333333333333,0.0,0.0,0.0,0.0,0.0,0.3229166666666667,0.00028395625,1.0,0.6770833333333333
openai/gpt-4o-mini,hygienic_combo,L5,24,1.0,0.9583333333333334,0.7916666666666666,0.16666666666666666,0.0,0.0,0.041666666666666664,0.0,0.0,0.3541666666666667,0.00026423749999999997,0.9583333333333334,0.6041666666666666
openai/gpt-4o-mini,naive_bm25,L5,24,1.0,0.375,0.0,0.9895833333333334,0.625,0.0,0.625,0.0,0.0,0.71875,0.00026325625,0.375,0.7770833333333333
openai/gpt-4o-mini,primary_preserve,L5,24,1.0,1.0,0.875,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.36874999999999997,0.00025540625,1.0,0.6312499999999999
openai/gpt-5-mini,careful_bm25,L5,24,0.875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.00256371875,1.0,0.29
openai/gpt-5-mini,hygienic_combo,L5,24,0.875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6695833333333333,0.0025172708333333336,1.0,0.33041666666666664
openai/gpt-5-mini,naive_bm25,L5,24,1.0,1.0,0.0,0.9791666666666666,0.0,0.0,0.0,0.0,0.0,0.5883333333333334,0.00212096875,1.0,0.4116666666666666
openai/gpt-5-mini,primary_preserve,L5,24,0.9583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7495833333333333,0.0024498854166666666,1.0,0.2504166666666666
openai/gpt-5.4-mini,careful_bm25,L5,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9391666666666666,0.00227565625,1.0,0.060833333333333406
openai/gpt-5.4-mini,hygienic_combo,L5,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9429166666666666,0.00213925,1.0,0.057083333333333375
openai/gpt-5.4-mini,naive_bm25,L5,24,1.0,0.625,0.08333333333333333,0.9166666666666666,0.25,0.0,0.375,0.0,0.0,0.8291666666666666,0.0019732187499999997,0.625,0.26666666666666666
openai/gpt-5.4-mini,primary_preserve,L5,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.945,0.00178984375,1.0,0.05500000000000005
