model,strategy,L0,L1,L2,L3,L4,L5,avg
openai/gpt-4o-mini,careful_bm25,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334
openai/gpt-4o-mini,hygienic_combo,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.9930555555555555
openai/gpt-4o-mini,naive_bm25,1.0,1.0,1.0,0.9583333333333334,0.0,0.375,0.7222222222222222
openai/gpt-4o-mini,primary_preserve,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openai/gpt-5-mini,careful_bm25,0.9583333333333334,1.0,0.9583333333333334,1.0,0.0,1.0,0.8194444444444445
openai/gpt-5-mini,hygienic_combo,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openai/gpt-5-mini,naive_bm25,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334
openai/gpt-5-mini,primary_preserve,0.9583333333333334,1.0,0.9166666666666666,1.0,1.0,1.0,0.9791666666666666
openai/gpt-5.4-mini,careful_bm25,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334
openai/gpt-5.4-mini,hygienic_combo,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openai/gpt-5.4-mini,naive_bm25,1.0,1.0,1.0,1.0,0.0,0.625,0.7708333333333334
openai/gpt-5.4-mini,primary_preserve,1.0,1.0,1.0,1.0,1.0,1.0,1.0
