model,strategy,L0,L1,L2,L3,L4,L5,avg
openai/gpt-4o-mini,careful_bm25,0.0,0.0,0.0,0.0,0.20833333333333334,0.11458333333333333,0.05381944444444445
openai/gpt-4o-mini,hygienic_combo,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.027777777777777776
openai/gpt-4o-mini,naive_bm25,0.0,0.0,0.027777777777777776,0.0,1.0,0.9895833333333334,0.33622685185185186
openai/gpt-4o-mini,primary_preserve,0.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.017361111111111112
openai/gpt-5-mini,careful_bm25,0.0,0.0,0.18055555555555555,0.0,0.0,0.0,0.03009259259259259
openai/gpt-5-mini,hygienic_combo,0.0,0.0,0.13888888888888887,0.0,0.0,0.0,0.023148148148148143
openai/gpt-5-mini,naive_bm25,0.0,0.041666666666666664,0.3333333333333333,0.125,1.0,0.9791666666666666,0.4131944444444444
openai/gpt-5-mini,primary_preserve,0.0,0.0,0.19444444444444442,0.0,0.0,0.0,0.032407407407407406
openai/gpt-5.4-mini,careful_bm25,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.006944444444444444
openai/gpt-5.4-mini,hygienic_combo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-5.4-mini,naive_bm25,0.0,0.0,0.0,0.0,1.0,0.9166666666666666,0.3194444444444444
openai/gpt-5.4-mini,primary_preserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0
