model,strategy,L0,L1,L2,L3,L4,L5,avg
openai/gpt-4o-mini,careful_bm25,0.375,0.4166666666666667,0.375,0.7083333333333334,0.0,0.875,0.4583333333333333
openai/gpt-4o-mini,hygienic_combo,0.6666666666666666,1.0,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.7916666666666666,0.8541666666666666
openai/gpt-4o-mini,naive_bm25,1.0,1.0,0.9166666666666666,0.9583333333333334,0.0,0.0,0.6458333333333334
openai/gpt-4o-mini,primary_preserve,0.7916666666666666,0.9583333333333334,0.8333333333333334,0.875,0.9583333333333334,0.875,0.8819444444444445
openai/gpt-5-mini,careful_bm25,0.9583333333333334,0.9583333333333334,0.4166666666666667,0.9583333333333334,0.0,1.0,0.7152777777777778
openai/gpt-5-mini,hygienic_combo,1.0,0.9583333333333334,0.5833333333333334,0.9583333333333334,1.0,1.0,0.9166666666666666
openai/gpt-5-mini,naive_bm25,1.0,0.9166666666666666,0.0,0.875,0.0,0.0,0.46527777777777773
openai/gpt-5-mini,primary_preserve,0.9583333333333334,0.9583333333333334,0.3333333333333333,1.0,1.0,1.0,0.875
openai/gpt-5.4-mini,careful_bm25,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334
openai/gpt-5.4-mini,hygienic_combo,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openai/gpt-5.4-mini,naive_bm25,1.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.6805555555555555
openai/gpt-5.4-mini,primary_preserve,1.0,1.0,1.0,1.0,1.0,1.0,1.0
