model,retriever,strategy,duplicate_count,primary_visibility_under_bm25_top8,n,wrong_answer_rate,mean_wrong_confidence,polluted_mistake_rate,mean_pollutant_saturation_at_k
heuristic-sim,bm25_top12,evidence_graph_v2,1,True,2,0.0,0.0,0.0,0.16666666666666666
heuristic-sim,bm25_top12,evidence_graph_v2,5,True,2,0.0,0.0,0.0,0.5
heuristic-sim,bm25_top12,evidence_graph_v2,20,False,1,1.0,0.86,1.0,0.75
heuristic-sim,bm25_top12,evidence_graph_v2,20,True,1,1.0,0.86,1.0,0.75
heuristic-sim,bm25_top12,evidence_graph_v2,50,False,1,1.0,0.86,1.0,1.0
heuristic-sim,bm25_top12,evidence_graph_v2,50,True,1,1.0,0.86,1.0,0.8333333333333334
heuristic-sim,bm25_top8,evidence_graph_v2,1,True,2,0.0,0.0,0.0,0.25
heuristic-sim,bm25_top8,evidence_graph_v2,5,True,2,1.0,0.86,1.0,0.75
heuristic-sim,bm25_top8,evidence_graph_v2,20,False,1,1.0,0.86,1.0,1.0
heuristic-sim,bm25_top8,evidence_graph_v2,20,True,1,1.0,0.86,1.0,0.75
heuristic-sim,bm25_top8,evidence_graph_v2,50,False,1,1.0,0.86,1.0,1.0
heuristic-sim,bm25_top8,evidence_graph_v2,50,True,1,1.0,0.86,1.0,0.75
heuristic-sim,bm25_top8,forced_primary_append,1,True,2,0.0,0.0,0.0,0.25
heuristic-sim,bm25_top8,forced_primary_append,5,True,2,1.0,0.86,1.0,0.75
heuristic-sim,bm25_top8,forced_primary_append,20,False,1,1.0,0.86,1.0,1.0
heuristic-sim,bm25_top8,forced_primary_append,20,True,1,1.0,0.86,1.0,0.75
heuristic-sim,bm25_top8,forced_primary_append,50,False,1,1.0,0.86,1.0,1.0
heuristic-sim,bm25_top8,forced_primary_append,50,True,1,1.0,0.86,1.0,0.75
heuristic-sim,bm25_top8,tool_agent_2call,1,True,2,0.0,0.0,0.0,0.25
heuristic-sim,bm25_top8,tool_agent_2call,5,True,2,1.0,0.86,1.0,0.75
heuristic-sim,bm25_top8,tool_agent_2call,20,False,1,1.0,0.86,1.0,1.0
heuristic-sim,bm25_top8,tool_agent_2call,20,True,1,1.0,0.86,1.0,0.75
heuristic-sim,bm25_top8,tool_agent_2call,50,False,1,1.0,0.86,1.0,1.0
heuristic-sim,bm25_top8,tool_agent_2call,50,True,1,0.0,0.0,0.0,0.75
heuristic-sim,heuristic_root_dedup_top8,evidence_graph_v2,1,True,2,0.0,0.0,0.0,0.25
heuristic-sim,heuristic_root_dedup_top8,evidence_graph_v2,5,True,2,0.0,0.0,0.0,0.625
heuristic-sim,heuristic_root_dedup_top8,evidence_graph_v2,20,False,1,0.0,0.0,0.0,0.625
heuristic-sim,heuristic_root_dedup_top8,evidence_graph_v2,20,True,1,0.0,0.0,0.0,0.625
heuristic-sim,heuristic_root_dedup_top8,evidence_graph_v2,50,False,1,0.0,0.0,0.0,0.625
heuristic-sim,heuristic_root_dedup_top8,evidence_graph_v2,50,True,1,0.0,0.0,0.0,0.625
heuristic-sim,oracle_root_dedup_top8,evidence_graph_v2,1,True,2,0.0,0.0,0.0,0.125
heuristic-sim,oracle_root_dedup_top8,evidence_graph_v2,5,True,2,0.0,0.0,0.0,0.125
heuristic-sim,oracle_root_dedup_top8,evidence_graph_v2,20,False,1,0.0,0.0,0.0,0.125
heuristic-sim,oracle_root_dedup_top8,evidence_graph_v2,20,True,1,0.0,0.0,0.0,0.125
heuristic-sim,oracle_root_dedup_top8,evidence_graph_v2,50,False,1,0.0,0.0,0.0,0.125
heuristic-sim,oracle_root_dedup_top8,evidence_graph_v2,50,True,1,0.0,0.0,0.0,0.125
heuristic-sim,primary_preserve_top8,evidence_graph_v2,1,True,2,0.0,0.0,0.0,0.25
heuristic-sim,primary_preserve_top8,evidence_graph_v2,5,True,2,1.0,0.86,1.0,0.75
heuristic-sim,primary_preserve_top8,evidence_graph_v2,20,False,1,1.0,0.86,1.0,0.75
heuristic-sim,primary_preserve_top8,evidence_graph_v2,20,True,1,1.0,0.86,1.0,0.75
heuristic-sim,primary_preserve_top8,evidence_graph_v2,50,False,1,1.0,0.86,1.0,0.75
heuristic-sim,primary_preserve_top8,evidence_graph_v2,50,True,1,1.0,0.86,1.0,0.75
