episode_type,strategy,n,parse_success,tool_parse_success,claim_accuracy,scope_accuracy,evidence_validity,contaminated_citation_rate,rejected_contaminated_rate,independent_evidence_score,provenance_recovery_f1,escape_rate,primary_recovery_rate,valid_primary_support_rate,generated_lore_overclaim,correct_insufficient,overconfident_wrong,confidence,tool_use_rate,trace_rate,compare_versions_rate,search_contradictions_rate,primary_request_rate,useful_tool_rate,tool_diversity,cost_usd,ece
halupedia_or_generated_lore,evidence_graph_v3,50,1.0,1.0,0.8,0.8,0.8,0.2,0.8,0.8666666666666667,1.0,0.8,0.0,0.0,0.2,0.8,0.2,0.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001
halupedia_or_generated_lore,forced_primary_append,8,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.58,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42000000000000004
halupedia_or_generated_lore,forced_triage_tools,8,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.58,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.42000000000000004
halupedia_or_generated_lore,static_hygienic_combo,8,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000004
halupedia_or_generated_lore,tool_agent_3call_policy,8,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.58,1.0,1.0,0.0,1.0,1.0,0.0,1.584962500721156,0.0,0.42000000000000004
insufficient_or_no_primary,evidence_graph_v3,30,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000004
insufficient_or_no_primary,forced_primary_append,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.58,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42000000000000004
insufficient_or_no_primary,forced_triage_tools,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.58,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.42000000000000004
insufficient_or_no_primary,static_hygienic_combo,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000004
insufficient_or_no_primary,tool_agent_3call_policy,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.58,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.42000000000000004
