task_id,episode_type,duplicate_count,primary_visibility_under_bm25_top8,retriever,k,retrieved_doc_ids,primary_recall_at_k,gold_evidence_recall_at_k,contradiction_candidate_recall_at_k,contaminant_fraction_at_k,unique_upstream_roots_at_k,source_type_entropy_at_k,primary_rank,pollutant_saturation_at_k,stress_score
eha2r_000,clean_control,1,True,bm25_top8,8,"eha2r_000_pollutant_root,eha2r_000_primary_a,eha2r_000_primary_b,eha2r_000_repost_00,eha2r_000_repost_01,eha2r_000_repost_02,eha2r_000_repost_03,eha2r_000_repost_04",1.0,1.0,1.0,0.75,3,3.0,2,0.75,1
eha2r_000,clean_control,1,True,bm25_top12,12,"eha2r_000_pollutant_root,eha2r_000_primary_a,eha2r_000_primary_b,eha2r_000_repost_00,eha2r_000_repost_01,eha2r_000_repost_02,eha2r_000_repost_03,eha2r_000_repost_04,eha2r_000_context_08,eha2r_000_context_09,eha2r_000_context_10,eha2r_000_context_11",1.0,1.0,1.0,0.5,7,3.584962500721156,2,0.5,1
eha2r_000,clean_control,1,True,primary_preserve_top8,8,"eha2r_000_primary_a,eha2r_000_primary_b,eha2r_000_pollutant_root,eha2r_000_repost_00,eha2r_000_repost_01,eha2r_000_repost_02,eha2r_000_repost_03,eha2r_000_repost_04",1.0,1.0,1.0,0.75,3,3.0,2,0.75,1
eha2r_000,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2r_000_pollutant_root,eha2r_000_primary_a,eha2r_000_repost_00,eha2r_000_context_08,eha2r_000_primary_b,eha2r_000_repost_01,eha2r_000_repost_02,eha2r_000_repost_03",1.0,1.0,1.0,0.625,4,3.0,2,0.625,1
eha2r_000,clean_control,1,True,hygienic_combo_top8,8,"eha2r_000_primary_a,eha2r_000_primary_b,eha2r_000_pollutant_root,eha2r_000_repost_03,eha2r_000_repost_02,eha2r_000_context_13,eha2r_000_context_12,eha2r_000_context_11",1.0,1.0,1.0,0.375,6,3.0,2,0.375,1
eha2r_000,clean_control,1,True,oracle_root_dedup_top8,8,"eha2r_000_pollutant_root,eha2r_000_primary_a,eha2r_000_primary_b,eha2r_000_context_08,eha2r_000_context_09,eha2r_000_context_10,eha2r_000_context_11,eha2r_000_context_12",1.0,1.0,1.0,0.125,8,2.75,2,0.125,1
eha2r_001,clean_control,1,True,bm25_top8,8,"eha2r_001_pollutant_root,eha2r_001_primary_a,eha2r_001_primary_b,eha2r_001_repost_00,eha2r_001_repost_01,eha2r_001_repost_02,eha2r_001_repost_04,eha2r_001_repost_03",1.0,1.0,1.0,0.75,3,3.0,2,0.75,1
eha2r_001,clean_control,1,True,bm25_top12,12,"eha2r_001_pollutant_root,eha2r_001_primary_a,eha2r_001_primary_b,eha2r_001_repost_00,eha2r_001_repost_01,eha2r_001_repost_02,eha2r_001_repost_04,eha2r_001_repost_03,eha2r_001_context_08,eha2r_001_context_09,eha2r_001_context_10,eha2r_001_context_11",1.0,1.0,1.0,0.5,7,3.4182958340544896,2,0.5,1
eha2r_001,clean_control,1,True,primary_preserve_top8,8,"eha2r_001_primary_a,eha2r_001_primary_b,eha2r_001_pollutant_root,eha2r_001_repost_00,eha2r_001_repost_01,eha2r_001_repost_02,eha2r_001_repost_04,eha2r_001_repost_03",1.0,1.0,1.0,0.75,3,3.0,2,0.75,1
eha2r_001,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2r_001_pollutant_root,eha2r_001_primary_a,eha2r_001_repost_00,eha2r_001_context_08,eha2r_001_primary_b,eha2r_001_repost_01,eha2r_001_repost_02,eha2r_001_repost_04",1.0,1.0,1.0,0.625,4,3.0,2,0.625,1
eha2r_001,clean_control,1,True,hygienic_combo_top8,8,"eha2r_001_primary_a,eha2r_001_primary_b,eha2r_001_pollutant_root,eha2r_001_repost_04,eha2r_001_repost_02,eha2r_001_context_13,eha2r_001_context_12,eha2r_001_context_11",1.0,1.0,1.0,0.375,6,3.0,2,0.375,1
eha2r_001,clean_control,1,True,oracle_root_dedup_top8,8,"eha2r_001_pollutant_root,eha2r_001_primary_a,eha2r_001_primary_b,eha2r_001_context_08,eha2r_001_context_09,eha2r_001_context_10,eha2r_001_context_11,eha2r_001_context_12",1.0,1.0,1.0,0.125,8,2.75,2,0.125,1
eha2r_002,clean_control,1,True,bm25_top8,8,"eha2r_002_pollutant_root,eha2r_002_primary_a,eha2r_002_primary_b,eha2r_002_repost_00,eha2r_002_repost_01,eha2r_002_repost_03,eha2r_002_repost_02,eha2r_002_context_07",1.0,1.0,1.0,0.625,4,3.0,2,0.625,0
eha2r_002,clean_control,1,True,bm25_top12,12,"eha2r_002_pollutant_root,eha2r_002_primary_a,eha2r_002_primary_b,eha2r_002_repost_00,eha2r_002_repost_01,eha2r_002_repost_03,eha2r_002_repost_02,eha2r_002_context_07,eha2r_002_context_08,eha2r_002_context_09,eha2r_002_context_10,eha2r_002_context_11",1.0,1.0,1.0,0.4166666666666667,8,2.9182958340544896,2,0.4166666666666667,0
eha2r_002,clean_control,1,True,primary_preserve_top8,8,"eha2r_002_primary_a,eha2r_002_primary_b,eha2r_002_pollutant_root,eha2r_002_repost_00,eha2r_002_repost_01,eha2r_002_repost_03,eha2r_002_repost_02,eha2r_002_context_07",1.0,1.0,1.0,0.625,4,3.0,2,0.625,0
eha2r_002,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2r_002_pollutant_root,eha2r_002_primary_a,eha2r_002_repost_00,eha2r_002_context_07,eha2r_002_primary_b,eha2r_002_repost_01,eha2r_002_repost_03,eha2r_002_repost_02",1.0,1.0,1.0,0.625,4,3.0,2,0.625,0
eha2r_002,clean_control,1,True,hygienic_combo_top8,8,"eha2r_002_primary_a,eha2r_002_primary_b,eha2r_002_pollutant_root,eha2r_002_repost_03,eha2r_002_repost_01,eha2r_002_context_13,eha2r_002_context_12,eha2r_002_context_11",1.0,1.0,1.0,0.375,6,2.75,2,0.375,0
eha2r_002,clean_control,1,True,oracle_root_dedup_top8,8,"eha2r_002_pollutant_root,eha2r_002_primary_a,eha2r_002_primary_b,eha2r_002_context_07,eha2r_002_context_08,eha2r_002_context_09,eha2r_002_context_10,eha2r_002_context_11",1.0,1.0,1.0,0.125,8,2.0,2,0.125,0
eha2r_003,clean_control,1,True,bm25_top8,8,"eha2r_003_pollutant_root,eha2r_003_primary_a,eha2r_003_primary_b,eha2r_003_repost_00,eha2r_003_repost_02,eha2r_003_repost_01,eha2r_003_context_06,eha2r_003_context_07",1.0,1.0,1.0,0.5,5,2.75,2,0.5,0
eha2r_003,clean_control,1,True,bm25_top12,12,"eha2r_003_pollutant_root,eha2r_003_primary_a,eha2r_003_primary_b,eha2r_003_repost_00,eha2r_003_repost_02,eha2r_003_repost_01,eha2r_003_context_06,eha2r_003_context_07,eha2r_003_context_08,eha2r_003_context_09,eha2r_003_context_10,eha2r_003_context_11",1.0,1.0,1.0,0.3333333333333333,9,3.084962500721156,2,0.3333333333333333,0
eha2r_003,clean_control,1,True,primary_preserve_top8,8,"eha2r_003_primary_a,eha2r_003_primary_b,eha2r_003_pollutant_root,eha2r_003_repost_00,eha2r_003_repost_02,eha2r_003_repost_01,eha2r_003_context_06,eha2r_003_context_07",1.0,1.0,1.0,0.5,5,2.75,2,0.5,0
eha2r_003,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2r_003_pollutant_root,eha2r_003_primary_a,eha2r_003_repost_00,eha2r_003_context_06,eha2r_003_primary_b,eha2r_003_repost_02,eha2r_003_repost_01,eha2r_003_context_07",1.0,1.0,1.0,0.5,5,2.75,2,0.5,0
eha2r_003,clean_control,1,True,hygienic_combo_top8,8,"eha2r_003_primary_a,eha2r_003_primary_b,eha2r_003_pollutant_root,eha2r_003_repost_02,eha2r_003_repost_00,eha2r_003_context_13,eha2r_003_context_12,eha2r_003_context_11",1.0,1.0,1.0,0.375,6,2.75,2,0.375,0
eha2r_003,clean_control,1,True,oracle_root_dedup_top8,8,"eha2r_003_pollutant_root,eha2r_003_primary_a,eha2r_003_primary_b,eha2r_003_context_06,eha2r_003_context_07,eha2r_003_context_08,eha2r_003_context_09,eha2r_003_context_10",1.0,1.0,1.0,0.125,8,2.5,2,0.125,0
eha2r_004,clean_control,1,True,bm25_top8,8,"eha2r_004_pollutant_root,eha2r_004_primary_a,eha2r_004_primary_b,eha2r_004_repost_01,eha2r_004_repost_02,eha2r_004_repost_03,eha2r_004_repost_00,eha2r_004_context_07",1.0,1.0,1.0,0.625,4,3.0,2,0.625,0
eha2r_004,clean_control,1,True,bm25_top12,12,"eha2r_004_pollutant_root,eha2r_004_primary_a,eha2r_004_primary_b,eha2r_004_repost_01,eha2r_004_repost_02,eha2r_004_repost_03,eha2r_004_repost_00,eha2r_004_context_07,eha2r_004_context_08,eha2r_004_context_09,eha2r_004_context_10,eha2r_004_context_11",1.0,1.0,1.0,0.4166666666666667,8,3.2516291673878226,2,0.4166666666666667,0
