episode_type,strategy,n,parse_success,tool_parse_success,claim_accuracy,scope_accuracy,evidence_validity,contaminated_citation_rate,rejected_contaminated_rate,independent_evidence_score,provenance_recovery_f1,escape_rate,primary_recovery_rate,valid_primary_support_rate,generated_lore_overclaim,correct_insufficient,overconfident_wrong,confidence,tool_use_rate,trace_rate,compare_versions_rate,search_contradictions_rate,primary_request_rate,useful_tool_rate,tool_diversity,cost_usd,ece
halupedia_or_generated_lore,evidence_graph_v3,50,0.98,1.0,1.0,0.04,0.76,0.18083333333333332,0.035833333333333335,0.8690000000000001,0.16,0.76,0.0,0.0,0.0,1.0,0.0,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000391752,0.656
halupedia_or_generated_lore,forced_primary_append,8,1.0,1.0,1.0,0.0,0.875,0.09375,0.0,0.921875,0.125,0.875,0.0,0.0,0.0,1.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003168375,0.7000000000000001
halupedia_or_generated_lore,forced_triage_tools,8,1.0,1.0,1.0,0.0,0.625,0.265625,0.0,0.78125,0.6,0.625,0.0,0.0,0.0,1.0,0.0,0.275,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0003637125,0.7250000000000001
halupedia_or_generated_lore,static_hygienic_combo,8,1.0,1.0,1.0,0.0,0.625,0.296875,0.0,0.8020833333333334,0.5,0.625,0.0,0.0,0.0,1.0,0.0,0.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037177499999999997,0.6625000000000001
halupedia_or_generated_lore,tool_agent_3call_policy,8,1.0,1.0,1.0,0.0,0.25,0.59375,0.0,0.625,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.25,1.0,1.0,0.0,1.0,1.0,0.0,1.584962500721156,0.00032356875000000003,0.75
insufficient_or_no_primary,evidence_graph_v3,30,1.0,1.0,1.0,1.0,0.6333333333333333,0.35833333333333334,0.05,0.8036111111111112,0.3,0.6333333333333333,0.0,0.0,0.0,1.0,0.0,0.28500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037331,0.7149999999999999
insufficient_or_no_primary,forced_primary_append,4,1.0,1.0,1.0,1.0,0.75,0.15625,0.0,0.875,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003124125,0.875
insufficient_or_no_primary,forced_triage_tools,4,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.8,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.25,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0005000625,0.75
insufficient_or_no_primary,static_hygienic_combo,4,1.0,1.0,1.0,0.75,1.0,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035325,0.625
insufficient_or_no_primary,tool_agent_3call_policy,4,1.0,1.0,1.0,1.0,0.75,0.25,0.0,1.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.175,1.0,1.0,0.0,1.0,1.0,0.0,1.584962500721156,0.0002788875,0.8250000000000001
