gold_scope_tag,predicted_scope_tag,n,row_fraction
conflicting,conflicting,5,0.015060240963855422
conflicting,full,262,0.7891566265060241
conflicting,no_primary_source,60,0.18072289156626506
conflicting,partial,2,0.006024096385542169
conflicting,stale,1,0.0030120481927710845
conflicting,uncertain,2,0.006024096385542169
full,conflicting,1,0.025
full,full,39,0.975
generated_lore,generated_lore,2,0.024390243902439025
generated_lore,no_primary_source,79,0.9634146341463414
generated_lore,uncertain,1,0.012195121951219513
no_primary_source,generated_lore,1,0.021739130434782608
no_primary_source,no_primary_source,45,0.9782608695652174
partial,conflicting,3,0.10714285714285714
partial,full,13,0.4642857142857143
partial,no_primary_source,9,0.32142857142857145
partial,partial,3,0.10714285714285714
stale,full,64,1.0
