model,strategy,duplicate_count,n,wrong_answer_rate,mean_wrong_confidence,polluted_mistake_rate
heuristic-sim,citation_prompt,1,1,1.0,0.73,1.0
heuristic-sim,citation_prompt,5,1,1.0,0.8,1.0
heuristic-sim,citation_prompt,20,1,1.0,0.765,1.0
heuristic-sim,evidence_graph_prompt,1,1,0.0,0.0,0.0
heuristic-sim,evidence_graph_prompt,5,1,0.0,0.0,0.0
heuristic-sim,evidence_graph_prompt,20,1,0.0,0.0,0.0
heuristic-sim,source_independence_prompt,1,1,0.0,0.0,0.0
heuristic-sim,source_independence_prompt,5,1,0.0,0.0,0.0
heuristic-sim,source_independence_prompt,20,1,0.0,0.0,0.0
heuristic-sim,topk_rag,1,1,1.0,0.73,1.0
heuristic-sim,topk_rag,5,1,1.0,0.8,1.0
heuristic-sim,topk_rag,20,1,1.0,0.765,1.0
