strategy,surface_axis,n,parse_success,tool_parse_success,claim_accuracy,diagnostic_macro_f1,stale_recall,conflict_recall,generated_lore_recall,no_primary_precision,citation_laundering_recall,source_independence_accuracy,unsafe_scope_miss_rate,escape_rate,contaminated_citation_rate,support_role_valid_rate,support_role_clean_only_rate,support_role_verdict_direct_rate,support_role_contaminated_doc_rate,support_role_unknown_doc_rate,support_role_extraneous_clean_doc_rate,support_role_missing_clean_verdict_evidence_rate,support_role_nonempty_for_insufficient_rate,support_role_supporting_count,support_role_clean_verdict_evidence_count,support_role_contaminated_count,compare_versions_rate,useful_compare_versions_rate,trace_rate,search_contradictions_rate,primary_request_rate,hidden_label_leakage,overconfident_wrong_rate,confidence,cost_usd,ece
always_insufficient,adversarial_spoofing,36,1.0,1.0,0.5,0.35714285714285715,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.09999999999999998
always_insufficient,content_only,36,1.0,1.0,0.5,0.35714285714285715,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.09999999999999998
always_insufficient,metadata_perturbation,36,1.0,1.0,0.5,0.35714285714285715,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.09999999999999998
always_insufficient,source_type_visibility,36,1.0,1.0,0.5,0.35714285714285715,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.09999999999999998
always_insufficient,style_normalization,36,1.0,1.0,0.5,0.35714285714285715,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.09999999999999998
oracle_gold_contract,adversarial_spoofing,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.75,0.0,0.25
oracle_gold_contract,content_only,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.75,0.0,0.25
oracle_gold_contract,metadata_perturbation,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.75,0.0,0.25
oracle_gold_contract,source_type_visibility,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.75,0.0,0.25
oracle_gold_contract,style_normalization,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.75,0.0,0.25
source_type_prior,adversarial_spoofing,36,1.0,1.0,0.5,0.35714285714285715,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.25,0.25,0.25,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,3.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.16000000000000003
source_type_prior,content_only,36,1.0,1.0,0.5,0.39999999999999997,0.0,0.5,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.5,0.8333333333333334,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.11000000000000004
source_type_prior,metadata_perturbation,36,1.0,1.0,0.5,0.35714285714285715,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.25,0.5,0.25,0.3333333333333333,0.25,0.5,0.0,0.16666666666666666,0.6666666666666666,0.0,2.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.16000000000000003
source_type_prior,source_type_visibility,36,1.0,1.0,0.5,0.39999999999999997,0.0,0.5,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.5,0.8333333333333334,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.11000000000000004
source_type_prior,style_normalization,36,1.0,1.0,0.5,0.35714285714285715,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,2.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.16000000000000003
