baseline,view,n,verdict_accuracy,evidence_precision,clean_support_recall,polluted_support_rate,role_reconstruction_accuracy,action_target_score,operational_epistemic_escape
always_insufficient,neutral_metadata_hidden,10,0.2,0.0,0.2,0.0,0.0,0.0,0.0
always_insufficient,neutral_metadata_visible,10,0.2,0.0,0.2,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_hidden,10,0.2,0.0,0.2,0.0,0.0,0.0,0.0
citation_graph_only,neutral_metadata_visible,10,0.2,0.0,0.2,0.0,0.0,0.0,0.0
claim_overlap_only,neutral_metadata_hidden,10,0.2,0.0,0.2,0.0,0.0,0.0,0.0
claim_overlap_only,neutral_metadata_visible,10,0.2,0.0,0.2,0.0,0.0,0.0,0.0
cue_phrase_only,neutral_metadata_hidden,10,0.3,0.0,0.2,0.0,0.0,0.0,0.0
cue_phrase_only,neutral_metadata_visible,10,0.3,0.0,0.2,0.0,0.0,0.0,0.0
document_order_only,neutral_metadata_hidden,10,0.3,0.3,0.5,0.2,0.0,0.0,0.1
document_order_only,neutral_metadata_visible,10,0.3,0.2,0.4,0.3,0.0,0.0,0.0
id_only,neutral_metadata_hidden,10,0.3,0.0,0.2,0.0,0.0,0.0,0.0
id_only,neutral_metadata_visible,10,0.3,0.0,0.2,0.0,0.0,0.0,0.0
metadata_only,neutral_metadata_hidden,10,0.3,0.0,0.2,0.0,0.0,0.0,0.0
metadata_only,neutral_metadata_visible,10,0.3,0.0,0.2,0.0,0.0,0.0,0.0
random_valid_schema,neutral_metadata_hidden,10,0.4,0.0,0.2,0.0,0.0,0.0,0.0
random_valid_schema,neutral_metadata_visible,10,0.6,0.0,0.2,0.0,0.0,0.0,0.0
simple_heuristic,neutral_metadata_hidden,10,0.5,0.6,0.8,0.2,0.0,0.2,0.4
simple_heuristic,neutral_metadata_visible,10,0.5,0.5,0.7,0.3,0.0,0.2,0.3
source_type_only,neutral_metadata_hidden,10,0.3,0.0,0.2,0.0,0.0,0.0,0.0
source_type_only,neutral_metadata_visible,10,0.3,0.0,0.2,0.0,0.0,0.0,0.0
timestamp_only,neutral_metadata_hidden,10,0.3,0.0,0.2,0.0,0.0,0.0,0.0
timestamp_only,neutral_metadata_visible,10,0.3,0.0,0.2,0.0,0.0,0.0,0.0
title_only,neutral_metadata_hidden,10,0.2,0.0,0.2,0.0,0.0,0.0,0.0
title_only,neutral_metadata_visible,10,0.2,0.0,0.2,0.0,0.0,0.0,0.0
